iea22_r050
 1.00000000  0.00723266
 0.99475979  0.00840817
 0.98951968  0.00958413
 0.98427969  0.01076066
 0.97903780  0.01192874
 0.97379568  0.01309588
 0.96855371  0.01426370
 0.96331171  0.01543138
 0.95806942  0.01659774
 0.95282634  0.01776047
 0.94758340  0.01892386
 0.94234097  0.02008951
 0.93710015  0.02126226
 0.93185988  0.02243751
 0.92662008  0.02361486
 0.92138149  0.02479776
 0.91614556  0.02599198
 0.91091093  0.02719207
 0.90567631  0.02839217
 0.90044203  0.02959378
 0.89520871  0.03079958
 0.88997710  0.03201267
 0.88474577  0.03322702
 0.87951445  0.03444138
 0.87428398  0.03565953
 0.86905427  0.03688090
 0.86382619  0.03810912
 0.85859824  0.03933794
 0.85337042  0.04056731
 0.84814364  0.04180118
 0.84291686  0.04303505
 0.83769046  0.04427044
 0.83246412  0.04550609
 0.82723788  0.04674214
 0.82201179  0.04797885
 0.81678658  0.04921936
 0.81156153  0.05046053
 0.80633634  0.05170118
 0.80111115  0.05294182
 0.79588600  0.05418266
 0.79066107  0.05542438
 0.78543545  0.05666318
 0.78020941  0.05790020
 0.77498403  0.05914016
 0.76975807  0.06037763
 0.76453163  0.06161299
 0.75930624  0.06285293
 0.75408002  0.06408924
 0.74885262  0.06532052
 0.74362511  0.06655158
 0.73839730  0.06778133
 0.73316880  0.06900812
 0.72793964  0.07023203
 0.72271033  0.07145527
 0.71748102  0.07267852
 0.71224948  0.07389238
 0.70701710  0.07510264
 0.70178405  0.07630997
 0.69655085  0.07751664
 0.69131737  0.07872206
 0.68608200  0.07991910
 0.68084562  0.08111181
 0.67560742  0.08229672
 0.67036796  0.08347603
 0.66512851  0.08465533
 0.65988906  0.08583464
 0.65464677  0.08700108
 0.64940417  0.08816608
 0.64415985  0.08932359
 0.63891313  0.09047025
 0.63366576  0.09161389
 0.62841754  0.09275357
 0.62316781  0.09388620
 0.61791739  0.09501557
 0.61266620  0.09614129
 0.60741047  0.09724587
 0.60215347  0.09834449
 0.59689665  0.09944394
 0.59163801  0.10053451
 0.58637802  0.10161845
 0.58111605  0.10269263
 0.57585282  0.10376052
 0.57058583  0.10481029
 0.56531706  0.10585096
 0.56004745  0.10688731
 0.55477680  0.10791832
 0.54950440  0.10894016
 0.54423085  0.10995593
 0.53895464  0.11095779
 0.53367440  0.11193871
 0.52839310  0.11291386
 0.52310993  0.11387868
 0.51782481  0.11483256
 0.51253866  0.11578060
 0.50725116  0.11672097
 0.50196027  0.11764217
 0.49666606  0.11854469
 0.49136960  0.11943385
 0.48607130  0.12031175
 0.48077157  0.12118088
 0.47547037  0.12204080
 0.47016736  0.12288907
 0.46485943  0.12370656
 0.45954779  0.12450010
 0.45423465  0.12528339
 0.44891953  0.12605302
 0.44360250  0.12680899
 0.43828432  0.12755662
 0.43296440  0.12829146
 0.42763768  0.12897642
 0.42230955  0.12965035
 0.41697951  0.13030903
 0.41164749  0.13095107
 0.40631418  0.13158201
 0.40097852  0.13219213
 0.39563961  0.13277286
 0.39029690  0.13331935
 0.38495198  0.13384391
 0.37960552  0.13435203
 0.37425779  0.13484653
 0.36890801  0.13531750
 0.36355693  0.13577223
 0.35820100  0.13616801
 0.35284318  0.13653815
 0.34748438  0.13689345
 0.34212423  0.13722790
 0.33676244  0.13753343
 0.33139986  0.13782336
 0.32603460  0.13805794
 0.32066730  0.13824479
 0.31529942  0.13841488
 0.30993076  0.13855842
 0.30456160  0.13867885
 0.29919214  0.13878178
 0.29382194  0.13881072
 0.28845151  0.13878931
 0.28308110  0.13874990
 0.27771111  0.13866890
 0.27234166  0.13856330
 0.26697274  0.13843362
 0.26160688  0.13821831
 0.25624298  0.13795534
 0.25088050  0.13766126
 0.24552050  0.13732455
 0.24016223  0.13696247
